date,Temperature Score,Awake Time,Low Activity Time,Average MET,Sleep Latency Score,Total Sleep Score,Bedtime Start,Total Bedtime ,Training Volume Score,Sleep Balance Score,Sleep Timing,Temperature Deviation (°C),Stay Active Score,Light Sleep Duration,Respiratory Rate,Sleep Timin Score,REM Sleep Score,Lowest Resting Heart Rate,Activity Burn,Rest Time,Non-wear Time,Total Burn,Long Periods of Inactivity,Inactive Time,REM Sleep Duration,Resting Heart Rate Score,Previous Night Score,Activity Balance Score,Average HRV,Meet Daily Targets Score,Activity Score,Bedtime End,Restfulness Score,Training Frequency Score,Deep Sleep Duration,Previous Day Activity Score,Readiness Score,HRV Balance Score,Steps,Medium Activity Time,Temperature Trend Deviation,High Activity Time,Sleep Score,Sleep Latency,Sleep Efficiency Score,Total Sleep Duration,Restless Sleep,Deep Sleep Score,Sleep Efficiency,Move Every Hour Score,Recovery Index Score,Equivalent Walking Distance,Average Resting Heart Rate
2024-12-15,70,3416,10740,1.25,67,98,2024-12-15T01:07:34.000+01:00,36776,100,74,18630,0.43,85,17670,14.875,16,79,51,166,39720,7860,2199,0,27660,6090,59,83,81,112,43,77,2024-12-15T11:20:30.000+01:00,87,40,9600,71,73,67,3564,420,0.11,0,83,1620,96,33360,239,100,91,100,100,2629,58.09
2024-12-16,67,1919,17460,1.4375,86,80,2024-12-16T00:12:32.000+01:00,30119,100,66,15420,0.46,73,13860,14.75,54,94,47,372,31320,2280,2479,1,33600,7230,98,88,96,104,43,75,2024-12-16T08:34:31.000+01:00,97,40,7110,89,76,67,7908,1680,0.28,60,85,1200,99,28200,222,97,94,95,43,6664,54.41
2024-12-17,98,1770,13260,1.375,94,77,2024-12-16T23:58:01.000+01:00,28920,98,72,14400,0.08,68,14250,14.625,70,67,49,280,26940,8880,2359,3,36180,5190,79,85,89,119,43,71,2024-12-17T08:00:01.000+01:00,97,40,7710,83,78,74,5819,1080,0.18,60,84,780,99,27150,204,98,94,60,65,4922,53.56
2024-12-18,100,2461,17340,1.5,91,94,2024-12-18T00:10:00.000+01:00,34171,98,77,17130,-0.1,69,13890,14.125,41,97,49,476,29220,1140,2596,2,35940,8100,79,98,94,103,60,80,2024-12-18T09:39:31.000+01:00,91,71,9720,78,83,68,9804,2700,0.26,60,89,1080,98,31710,272,100,93,78,100,8896,55.03
2024-12-19,80,3329,23340,1.96875,83,62,2024-12-19T02:01:31.000+01:00,26609,100,64,12510,0.31,86,12750,14.125,24,60,52,1202,25620,1080,3381,0,25860,4590,50,40,95,96,60,87,2024-12-19T09:25:00.000+01:00,62,96,5940,79,67,69,16272,10440,0.35,60,66,540,88,23280,192,89,87,100,77,22653,58.72
2024-12-20,90,1050,24240,2.625,70,51,2024-12-20T02:13:58.000+01:00,21360,100,65,10680,0.19,100,11580,15.375,33,50,58,2239,21600,1020,4503,0,16620,3870,1,35,87,63,78,94,2024-12-20T08:09:58.000+01:00,87,100,4860,76,49,56,24536,22200,0.12,720,64,270,100,20310,155,73,95,100,13,41374,69.97
2024-12-21,79,2859,7680,1.65625,99,86,2024-12-21T02:08:33.000+01:00,32409,100,69,15930,0.32,100,14370,14.75,13,95,54,873,36600,20100,2890,0,12060,7410,34,85,75,92,78,94,2024-12-21T11:08:42.000+01:00,91,100,7770,54,66,65,8692,9900,0.18,60,84,900,96,29550,202,98,91,100,75,16175,61.17
2024-12-22,82,2910,20280,1.90625,46,100,2024-12-22T01:00:30.000+01:00,38580,100,67,20190,0.28,98,18510,15.0,13,79,48,1163,31920,1920,3300,0,21060,6120,92,80,85,106,95,95,2024-12-22T11:43:30.000+01:00,93,100,11040,83,79,55,15753,11160,0.3,60,82,2070,97,35670,281,100,92,100,100,21722,55.43
2024-12-23,93,1080,21540,1.625,78,58,2024-12-23T03:22:28.000+01:00,23460,100,54,11760,0.14,86,10470,14.5,13,63,51,679,31620,960,2800,0,28020,4860,64,48,65,113,100,92,2024-12-23T09:53:28.000+01:00,93,100,7050,83,62,54,12774,4140,0.22,120,69,420,100,22380,125,96,95,100,60,12786,55.29
2024-12-24,58,1110,27660,2.1875,75,62,2024-12-24T01:16:29.000+01:00,24420,100,65,12120,0.57,96,11700,13.875,50,49,47,1526,21000,900,3778,0,21780,3810,100,61,67,112,100,99,2024-12-24T08:03:29.000+01:00,99,100,7800,84,65,56,19458,14880,0.44,180,74,390,100,23310,123,98,95,100,1,27722,54.38
2024-12-25,100,2157,10140,1.78125,78,92,2024-12-25T02:00:01.000+01:00,33507,100,68,16620,0.02,99,14490,13.875,13,96,48,1009,33540,12780,3078,0,19320,7770,94,86,52,101,100,99,2024-12-25T11:18:28.000+01:00,86,100,9090,76,76,57,12804,10200,0.18,420,84,420,99,31350,242,100,94,100,100,18534,54.41
2024-12-26,100,3030,30600,1.71875,75,94,2024-12-26T01:47:31.000+01:00,34740,100,63,16560,0.01,98,16800,14.5,15,78,49,775,30960,1860,2955,0,19080,6060,84,84,62,114,100,99,2024-12-26T11:26:31.000+01:00,91,100,8850,73,76,66,15578,3900,0.2,0,83,360,96,31710,215,100,91,100,100,14387,54.54
2024-12-27,82,1571,15720,1.65625,91,86,2024-12-27T02:34:30.000+01:00,31211,100,66,15810,0.29,98,13710,14.625,9,84,50,809,35520,7920,2890,0,20040,6480,74,84,62,101,100,100,2024-12-27T11:14:41.000+01:00,94,100,9450,95,73,63,10809,7200,0.38,0,83,750,100,29640,237,100,95,100,59,15201,57.11
2024-12-28,71,1285,17160,1.875,89,99,2024-12-28T01:08:32.000+01:00,34795,100,75,17610,0.42,100,16410,14.375,19,100,49,1122,32340,7260,3238,0,17820,10050,84,100,59,107,100,100,2024-12-28T10:48:27.000+01:00,97,100,7050,87,80,70,10295,11820,0.21,0,90,660,100,33510,243,96,96,100,100,20688,54.38
2024-12-29,95,900,23640,2.125,78,91,2024-12-29T01:39:57.000+01:00,31980,100,73,16170,0.12,100,16230,14.5,18,97,49,1445,28860,1740,3646,0,17940,7830,84,86,61,121,100,99,2024-12-29T10:32:57.000+01:00,91,100,7020,85,78,74,16771,14220,0.15,0,84,450,100,31080,264,96,97,100,79,27067,53.97
2024-12-30,100,2550,29700,1.6875,51,71,2024-12-30T02:15:02.000+01:00,28260,100,72,14970,-0.04,99,13020,14.625,15,81,49,717,25140,8040,2880,0,20100,6210,84,56,60,118,100,96,2024-12-30T10:06:02.000+01:00,91,100,6480,83,76,73,14604,3360,0.22,60,72,1950,96,25710,227,95,91,100,100,13938,54.03
2024-12-31,85,1650,16440,1.375,81,83,2024-12-31T03:08:28.000+01:00,30540,100,80,15210,0.24,99,14970,15.125,5,75,54,323,27900,31860,2352,0,9000,5760,36,74,67,100,100,100,2024-12-31T11:37:28.000+01:00,91,100,8160,88,65,72,6429,1140,0.33,60,79,510,100,28890,142,98,95,100,21,5936,59.98
2025-01-02,86,2490,19320,1.625,67,100,2025-01-01T21:40:00.000+01:00,48180,100,96,23370,0.24,86,24180,15.25,64,100,48,718,32100,1500,2830,0,28140,11610,96,100,69,131,95,97,2025-01-02T11:03:00.000+01:00,94,100,9900,86,90,84,11870,5280,0.18,60,92,180,100,45690,270,100,95,100,100,13520,54.72
2025-01-03,83,2700,20760,1.40625,78,91,2025-01-03T02:05:29.000+01:00,33780,97,79,17010,0.27,87,14310,14.375,11,98,49,303,34680,2640,2414,0,27780,8250,86,86,71,110,78,92,2025-01-03T11:28:29.000+01:00,96,100,8520,84,81,78,6270,540,0.32,0,84,1380,97,31080,246,99,92,100,84,4800,54.99
2025-01-04,91,1230,17220,1.96875,86,98,2025-01-04T01:54:29.000+01:00,34260,100,100,17130,0.17,100,16770,14.375,12,98,51,1320,36420,1920,3443,0,16860,8370,67,96,82,89,78,94,2025-01-04T11:25:29.000+01:00,93,100,7890,93,84,78,15428,13980,0.29,0,88,630,100,33030,279,98,96,100,76,24093,55.81
2025-01-05,100,1620,29160,1.78125,89,85,2025-01-05T01:13:01.000+01:00,30990,100,98,15450,-0.02,100,15360,14.875,24,96,49,917,32220,3300,3063,0,15360,7770,88,86,72,120,78,94,2025-01-05T09:49:31.000+01:00,95,100,6240,87,82,87,14229,6360,0.2,0,84,660,100,29370,252,94,95,100,42,17508,57.18
2025-01-06,74,1675,22260,1.4375,86,56,2025-01-06T00:31:03.000+01:00,23425,100,90,12210,0.38,80,13860,14.25,72,51,54,386,30780,1320,2506,1,31260,3960,40,46,85,108,78,90,2025-01-06T07:01:28.000+01:00,81,96,3930,94,64,77,8221,780,0.33,0,68,1200,98,21750,149,59,93,95,61,6962,60.41
2025-01-07,68,1503,26700,1.90625,97,97,2025-01-06T22:28:31.000+01:00,34413,100,100,17670,0.45,99,18900,14.0,88,96,48,746,14820,0,2849,0,16620,7740,98,100,87,121,95,99,2025-01-07T08:02:04.000+01:00,92,100,6270,88,81,85,14450,4500,0.29,60,95,870,100,32910,206,95,96,100,100,14297,52.81
2025-01-08,93,2418,0,0.9375,94,97,2025-01-07T22:19:30.000+01:00,35028,99,87,17730,0.14,99,16440,14.625,92,98,52,0,10440,0,1741,0,360,8190,60,100,80,117,95,98,2025-01-08T08:03:18.000+01:00,89,100,7980,94,84,83,0,0,0.18,0,95,1020,98,32610,209,98,93,100,100,0,56.94
2024-11-10,,,9780,1.4375,,,,,100,,,,100,,,,,,382,15000,45720,2424,0,13980,,,,,,95,99,,,100,,,,,7405,1800,,120,,,,,,,,100,,7542,
2024-11-17,,,15600,1.53125,,,,,95,,,,100,,,,,,435,4440,21660,2591,0,41940,,,,,,95,98,,,96,,,,,10520,2700,,60,,,,,,,,100,,7995,
2024-11-23,,,1980,1.21875,,,,,41,,,,97,,,,,,22,5340,57480,2020,2,21600,,,,,,1,54,,,1,,,,,570,0,,0,,,,,,,,78,,232,
2024-11-29,,,11220,1.5,,,,,97,,,,84,,,,,,410,6300,34860,2530,2,31320,,,,,,25,73,,,71,,,,,6805,2220,,480,,,,,,,,78,,7204,
2024-12-06,,,16260,1.4375,,,,,100,,,,57,,,,,,249,6600,21600,2401,0,41340,,,,,,100,82,,,100,,,,,5462,600,,0,,,,,,,,100,,4082,
2024-12-08,,,9360,1.34375,,,,,99,,,,100,,,,,,183,6780,51180,2246,0,18480,,,,,,78,94,,,100,,,,,3464,540,,60,,,,,,,,100,,3277,
2025-01-01,,,12240,1.28125,,,,,100,,,,100,,,,,,201,25080,31140,2216,1,17640,,,,,,95,98,,,100,,,,,4320,300,,0,,,,,,,,95,,3652,
